RowName,key,English,Chinese,Japanese,Hindi,Arabic,French,Spanish,Russian
string,string,string,string,string,string,string,string,string,string
注释,Key,英文,中文,日文,印度语,阿拉伯语,法语,西班牙语,俄语
1,,Game,游戏,ゲーム,???,????,Jeu,Juego,Игра
2,,Start,开始,始める,????,????,Commencer,Comenzar,Начинать
3,,Collect,收集,集める,?????? ????,????,Collecter,Recolectar,Собирать
4,,Reward,奖励,褒美,????,?????,Récompense,Premio,Награда
5,,Close,关闭,近い,??? ????,????,Fermer,Cerca,Закрывать
6,,Hint,提示,ヒント,????? ????,???????,Indice,Pista,Намекать
7,,Forward,前进,フォワード,???,??? ??????,Avant,Adelante,Вперед
8,,Undo,撤销,元に戻す,???????,????? ???????,annuler,Deshacer,Отменить
9,,Theme,主题,テーマ,????,???,Thème,Tema,Тема
10,,Settings,设置,設定,???????,???????,Paramètres,Ajustes,Настройки
11,,Score,得分,スコア,???,?????,Score,Puntaje,Счет
12,,Time,时间,時間,???,???,Temps,Tiempo,Время
13,,Moves,步数,移動,?????,????????,Se déplace,se mueve,Ходы
14,,Statistics,统计数据,統計,??????,????????,Statistiques,Estadísticas,Статистика
15,,Draw Card,抽牌,カードを引く,????? ?????,????? ?????,Tirer une carte,Elegir Carta,Вытянуть карту
16,,Draw 1,抽1张牌,ドロー1,???? 1,???? 1,Tirage 1,Sorteo 1,Ничья 1
17,,Draw 2,抽2张牌,ドロー2,???? 2,???? 2,Tirage 2,Sorteo 2,Ничья 2
18,,Draw 3,抽3张牌,ドロー 3,???? 3,???? 3,Tirage 3,Sorteo 3,Ничья 3
19,,Preferences,偏好,環境設定,????,?????????,Préférences,Preferencias,Предпочтения
20,,Sound Effects,音效,音響効果,????? ??????,?????? ?????,Effets sonores,Efectos de sonido,Звуковые эффекты
21,,Tap to Move,点击移牌,タップして移動,??????????? ???? ?? ??? ??? ????,???? ??????,Appuyez pour déplacer,Toque para moverse,"Нажмите, чтобы переместить"
22,,Fast Play,快速游戏,高速再生,???? ???,??? ????,Jeu rapide,Juego rapido,Быстрая игра
23,,Auto move cards to the foundation,自动将牌移到收牌区,カードを財団に自動移動します,????????? ??? ??????? ?? ????? ?? ????,??? ???????? ???????? ??? ??????,Déplacer automatiquement les cartes vers la fondation,Mover tarjetas automáticamente a la base.,Автоматическое перемещение карт в фонд
24,,Auto Complete,自动完成,オートコンプリート,????? ?????,??????? ????????,Saisie automatique,Autocompletar,Автозаполнение
25,,Game Over Prompts,游戏结束提醒,ゲームオーバープロンプト,??? ??? ?????????,????? ?????? ?????????,Invites de fin de jeu,Avisos de finalización del juego,Подсказки об окончании игры
26,,Style,视觉风格,スタイル,????,?????,Style,Estilo,Стиль
27,,Display Score,显示得分,スコアを表示する,???????? ?????,??? ???????,Afficher le score,Puntuación de visualización,Показать балл
28,,Display Time/Moves,显示时间/步数,表示時間?移動数,???????? ???/?????,??? ?????/????????,Afficher le temps/les mouvements,Mostrar tiempo/movimientos,Отображение времени/ходов
29,,Display Card Counts,显示牌数,カード数の表示,????? ?????? ????????? ????,??? ?????? ?????,Afficher le nombre de cartes,Conteos de tarjetas mostradas,Отображение количества карт
30,,View card counts of the Deck,查看牌堆的牌数,デッキのカード数を確認する,??? ?? ????? ?????? ?????,??? ????? ???????? ??? ??? ???????,Afficher le nombre de cartes du Deck,Ver recuentos de cartas del mazo,Посмотреть количество карт в колоде
31,,Left-Handed,左手模式,左利き,???? ??? ?? ??? ???? ????,?????,Gaucher,Zurdo,Левша
32,,Skip Winning Animations,跳过胜利动画,勝利のアニメーションをスキップする,??????? ????? ??????,???? ?????? ???????? ???????,Passer les animations gagnantes,Saltar animaciones ganadoras,Пропустить выигрышные анимации
33,,Information,信息,情報,???????,??????,Information,Información,Информация
34,,How To Play,怎么玩,遊び方,???? ????? ?? ???,??? ????,Comment jouer,Cómo jugar,Как играть
35,,QUIT,退出,やめる,??????,????,QUITTER,ABANDONAR,ПОКИДАТЬ
36,,New Game,新游戏,新しいゲーム,??? ???,???? ?????,Nouveau jeu,Nuevo juego,Новая игра
37,,Daily Challenge,每日挑战,毎日の挑戦,????? ??????,?????? ??????,Challenge quotidien,Reto diario,Ежедневное испытание
38,,Restart,重玩,再起動,???? ???? ????,????? ?????,Redémarrage,Reanudar,Перезапуск
39,,Cancel,取消,キャンセル,???? ????,????,Annuler,Cancelar,Отмена
40,,YOU WON,你获胜了,あなたが勝ちました,?? ????,??? ???,TU AS GAGNé,GANASTE,ТЫ ВЫИГРАЛ
41,,TROPHY,奖杯,トロフィー,??????,?????,TROPHéE,TROFEO,ТРОФЕЙ
42,,Customized,自定义,カスタマイズされた,????????????,??? ?????,Personnalisé,Personalizado,Индивидуальные
43,lag0107,Large Font Mode,大字体模式,大きなフォントモード,???? ?????? ???,??? ???? ??????,Mode grande police,Modo de fuente grande,Режим крупного шрифта
44,,Check,查看,チェック,???? ????,????,Vérifier,Controlar,Проверять
45,lag0109,Dark Mode,黑暗模式,ダークモード,????? ???,????? ??????,Mode sombre,Modo oscuro,Темный режим
46,lag0110,Eye Care Mode,护眼模式,アイケアモード,????? ?????? ???,??? ??????? ??????,Mode soin des yeux,Modo de cuidado de los ojos,Режим ухода за глазами
47,lag0111,Pet Mode,宠物,ペットモード,????? ???,??? ????????? ???????,Mode animal de compagnie,Modo mascota,Режим питомца
48,,Use,使用,使用,?????,??????,Utiliser,Usar,Использовать
49,,Table,牌桌,テーブル,????,?????,Tableau,Mesa,Стол
50,,Front,前,フロント,?????,????,Devant,Frente,Передний
51,,Back,后,戻る,????,???,Dos,Atrás,Назад
52,,Upload,上传,アップロード,?????,???,Télécharger,Subir,Загрузить
53,,Games Count,局数,ゲーム数,????? ?? ?????,??? ???????,Nombre de jeux,Recuento de juegos,Количество игр
54,,Games Won,胜局数,ゲームは勝ちました,??? ???? ???,??????? ???? ???? ???,Jeux gagnés,Juegos ganados,Игры выиграны
55,,Highest Score,最高得分,最高得点,?????? ?????,???? ?????,Le score le plus élevé,Puntuación más alta,Наивысший балл
56,,Average Score,平均得分,平均点,??? ???,????? ??????,Score moyen,Puntuación media,Средний балл
57,,Shortest Winning Time,最短胜局时间,最短勝利時間,???? ?? ??? ????? ?? ???,???? ??? ?????,Temps de gain le plus court,Tiempo ganador más corto,Кратчайшее время выигрыша
58,,Average Winning Time,平均胜局时间,平均勝利時間,??? ??? ?? ???,????? ??? ?????,Temps de gain moyen,Tiempo promedio de ganancia,Среднее время выигрыша
59,,Fewest Winning Moves,最少胜局步数,最も少ない勝ち手,???? ?? ????? ???? ?????,??? ???????? ???????,Moins de mouvements gagnants,Menos movimientos ganadores,Наименьшее количество выигрышных ходов
60,,Average Winning Moves,平均胜局步数,平均的な勝ち手,??? ????? ???? ?????,????? ???????? ???????,Mouvements gagnants moyens,Movimientos ganadores promedio,Среднее количество выигрышных ходов
61,,Current Streak,当前连胜,現在の連続数,??????? ????,??????? ???????,Série actuelle,Racha actual,Текущая серия
62,,Longest Streak,最长连胜,最長連続記録,???? ???? ????,???? ???,La plus longue série,Racha más larga,Самая длинная серия
63,,JANUARY,一月,1月,?????,?????,JANVIER,ENERO,ЯНВАРЬ
64,,FEBRUARY,二月,2月,??????,??? ??????,FéVRIER,FEBRERO,ФЕВРАЛЬ
65,,MARCH,三月,行進,?????,????,MARS,MARZO,МАРШИРОВАТЬ
66,,APRIL,四月,4月,??????,?????,AVRIL,ABRIL,АПРЕЛЬ
67,,MAY,五月,5月,??,????,PEUT,PUEDE,МОЖЕТ
